test push
//========================================
Theta Lambda Entropy UtilMaxVariance UtilTimeAvgVariance

0.000000 5 -2.000000 0.008858 0.000004
0.050000 5 3.954580 0.010976 0.000005
0.100000 5 3.930863 0.014859 0.000007
0.150000 5 3.844499 0.015943 0.000008
0.200000 5 3.692109 0.017569 0.000008
0.250000 5 3.736515 0.022116 0.000010
0.300000 5 3.984687 0.024884 0.000015
0.350000 5 3.945082 0.027506 0.000017
0.400000 5 3.873325 0.029053 0.000018
0.450000 5 3.873032 0.030262 0.000019
0.500000 5 3.759300 0.031452 0.000022
0.550000 5 3.825537 0.032403 0.000021
0.600000 5 3.783565 0.032046 0.000023
0.650000 5 3.645925 0.032803 0.000024
0.700000 5 3.480449 0.032154 0.000024
0.750000 5 3.443246 0.032983 0.000025
0.800000 5 2.975631 0.034081 0.000025
0.850000 5 3.137557 0.034617 0.000023
0.900000 5 2.670511 0.035917 0.000026
0.950000 5 2.371486 0.036505 0.000026
0.000000 10 -2.000000 0.003146 0.000002
0.050000 10 -2.000000 0.006615 0.000005
0.100000 10 4.350704 0.009572 0.000006
0.150000 10 4.112832 0.011825 0.000007
0.200000 10 3.860748 0.013828 0.000010
0.250000 10 3.699526 0.016656 0.000012
0.300000 10 3.616036 0.019142 0.000013
0.350000 10 3.550289 0.022106 0.000015
0.400000 10 3.526965 0.025487 0.000017
0.450000 10 3.521858 0.027298 0.000019
0.500000 10 3.594417 0.029615 0.000019
0.550000 10 3.510014 0.030661 0.000021
0.600000 10 3.487611 0.031931 0.000022
0.650000 10 3.451711 0.032975 0.000024
0.700000 10 3.487180 0.033216 0.000024
0.750000 10 3.313004 0.032936 0.000025
0.800000 10 3.216450 0.033590 0.000025
0.850000 10 2.886988 0.034580 0.000025
0.900000 10 2.825663 0.035737 0.000024
0.950000 10 2.359691 0.035943 0.000025
0.000000 15 -2.000000 0.001838 0.000001
0.050000 15 -2.000000 0.004736 0.000003
0.100000 15 4.368381 0.007421 0.000005
0.150000 15 4.213219 0.009634 0.000007
0.200000 15 3.949331 0.011701 0.000009
0.250000 15 3.616559 0.013693 0.000010
0.300000 15 3.353368 0.016241 0.000013
0.350000 15 3.271035 0.018998 0.000014
0.400000 15 3.396307 0.021919 0.000015
0.450000 15 3.500804 0.024962 0.000016
0.500000 15 3.332977 0.027211 0.000019
0.550000 15 3.308192 0.029851 0.000020
0.600000 15 3.409965 0.031950 0.000020
0.650000 15 3.367583 0.031521 0.000022
0.700000 15 3.246715 0.032943 0.000023
0.750000 15 3.299813 0.033463 0.000024
0.800000 15 3.148921 0.034266 0.000025
0.850000 15 2.978914 0.033969 0.000025
0.900000 15 2.692394 0.035333 0.000026
0.950000 15 2.390865 0.036181 0.000027
0.000000 20 -2.000000 0.001092 0.000001
0.050000 20 4.379816 0.003316 0.000003
0.100000 20 4.337879 0.005580 0.000005
0.150000 20 4.176165 0.008553 0.000006
0.200000 20 3.954863 0.010469 0.000008
0.250000 20 3.577494 0.012719 0.000010
0.300000 20 3.216286 0.014899 0.000011
0.350000 20 3.172402 0.017923 0.000013
0.400000 20 3.156129 0.020368 0.000015
0.450000 20 3.185726 0.023244 0.000016
0.500000 20 3.154621 0.025853 0.000018
0.550000 20 3.170374 0.028994 0.000019
0.600000 20 3.149849 0.030294 0.000020
0.650000 20 3.224844 0.031016 0.000021
0.700000 20 3.160029 0.032450 0.000023
0.750000 20 3.209034 0.033355 0.000024
0.800000 20 3.101154 0.033819 0.000025
0.850000 20 2.921915 0.033687 0.000025
0.900000 20 2.715719 0.035253 0.000026
0.950000 20 2.410040 0.036070 0.000026
0.000000 25 -2.000000 0.000789 0.000000
0.050000 25 4.381489 0.002828 0.000002
0.100000 25 4.254038 0.004885 0.000004
0.150000 25 4.166187 0.008264 0.000006
0.200000 25 3.991558 0.009758 0.000007
0.250000 25 3.611039 0.012101 0.000009
0.300000 25 3.238498 0.013598 0.000011
0.350000 25 3.006462 0.016266 0.000013
0.400000 25 3.058481 0.019006 0.000014
0.450000 25 3.010946 0.021746 0.000016
0.500000 25 3.086243 0.025198 0.000018
0.550000 25 3.041065 0.027414 0.000019
0.600000 25 3.096498 0.029656 0.000020
0.650000 25 3.147087 0.030991 0.000021
0.700000 25 3.005850 0.031524 0.000022
0.750000 25 3.244797 0.033934 0.000024
0.800000 25 3.002559 0.034711 0.000025
0.850000 25 2.948147 0.034473 0.000025
0.900000 25 2.724276 0.035283 0.000026
0.950000 25 2.375733 0.036722 0.000027
0.000000 30 -2.000000 0.000555 0.000000
0.050000 30 4.378791 0.002275 0.000002
0.100000 30 4.282236 0.004562 0.000004
0.150000 30 4.111517 0.007207 0.000005
0.200000 30 3.951678 0.009169 0.000007
0.250000 30 3.627879 0.011441 0.000009
0.300000 30 3.151385 0.012845 0.000011
0.350000 30 2.872277 0.015949 0.000012
0.400000 30 2.860474 0.018038 0.000014
0.450000 30 2.906778 0.021197 0.000016
0.500000 30 2.910412 0.023953 0.000017
0.550000 30 2.938753 0.027926 0.000018
0.600000 30 2.949503 0.029059 0.000020
0.650000 30 3.107051 0.029944 0.000019
0.700000 30 3.180373 0.031976 0.000022
0.750000 30 3.035570 0.032444 0.000023
0.800000 30 3.112272 0.034275 0.000023
0.850000 30 2.934915 0.033692 0.000026
0.900000 30 2.775544 0.034977 0.000026
0.950000 30 2.306295 0.036184 0.000027
0.000000 35 -2.000000 0.000459 0.000000
0.050000 35 4.316178 0.001900 0.000002
0.100000 35 4.293399 0.004196 0.000004
0.150000 35 4.120769 0.007150 0.000005
0.200000 35 3.937369 0.009119 0.000007
0.250000 35 3.673293 0.010767 0.000009
0.300000 35 3.218313 0.012969 0.000010
0.350000 35 2.863275 0.015227 0.000012
0.400000 35 2.950851 0.017690 0.000013
0.450000 35 2.899674 0.020267 0.000015
0.500000 35 2.908232 0.023402 0.000017
0.550000 35 2.881445 0.026080 0.000018
0.600000 35 2.927744 0.029221 0.000019
0.650000 35 2.942017 0.029013 0.000020
0.700000 35 3.115015 0.031848 0.000020
0.750000 35 2.864853 0.032636 0.000023
0.800000 35 2.897665 0.033609 0.000024
0.850000 35 2.906525 0.034552 0.000025
0.900000 35 2.795826 0.035093 0.000025
0.950000 35 2.485689 0.035887 0.000027
0.000000 40 -2.000000 0.000294 0.000000
0.050000 40 4.379207 0.001769 0.000002
0.100000 40 4.260258 0.004009 0.000003
0.150000 40 4.115218 0.006742 0.000005
0.200000 40 3.924904 0.008798 0.000007
0.250000 40 3.657404 0.010203 0.000008
0.300000 40 3.169018 0.012391 0.000010
0.350000 40 2.784831 0.014793 0.000012
0.400000 40 2.809815 0.017052 0.000014
0.450000 40 2.942701 0.020441 0.000014
0.500000 40 2.851160 0.022917 0.000017
0.550000 40 2.827780 0.026215 0.000017
0.600000 40 2.807620 0.028241 0.000019
0.650000 40 2.889769 0.029347 0.000020
0.700000 40 2.957418 0.030767 0.000022
0.750000 40 2.835881 0.032890 0.000023
0.800000 40 2.901116 0.033218 0.000024
0.850000 40 2.972311 0.035569 0.000025
0.900000 40 2.815355 0.034879 0.000026
0.950000 40 2.481184 0.036672 0.000027
0.000000 45 -2.000000 0.000276 0.000000
0.050000 45 4.384766 0.001750 0.000002
0.100000 45 4.251689 0.003527 0.000003
0.150000 45 4.095422 0.006506 0.000005
0.200000 45 3.932443 0.008015 0.000006
