time,PacketBouncewithTCP.client.tcp.SHI: reordering density
0.000040656,0
0.000062816,0
0.000067728,0
0.000092288,0
0.0000972,0
0.000102112,0
0.000111936,0
0.00014632,0
0.000156144,0
0.000161056,0
0.000165968,0
0.000175792,0
0.000185616,0
0.00019544,0
0.000205264,0
0.000254384,0
0.000264208,0
0.000274032,0
0.000283856,0
0.000288768,0
0.00029368,0
0.000303504,0
0.000313328,0
0.000323152,0
0.000332976,0
0.0003428,0
0.000352624,0
0.000362448,0
0.000372272,0
0.000382096,0
0.000396832,0
0.000470512,0
0.000480336,0
0.00049016,0
0.000499984,0
0.000509808,0
0.000519632,0
0.000529456,0
0.00053928,0
0.000544192,0
0.000549104,0
0.000558928,0
0.000568752,0
0.000578576,0
0.0005884,0
0.000593312,-35
0.000603136,-35
0.000608048,-35
0.000622784,-35
0.000632608,-35
0.00063752,-35
0.000652256,-35
0.000666992,-36
0.000676176,-36
0.000686,-36
0.000695824,-36
0.000700736,-36
0.000705648,-36
0.00071056,13
0.000720384,13
0.000730208,13
0.000740032,13
0.000749856,13
0.00075968,13
0.000769504,13
0.000779328,-34
0.00078424,-34
0.000789152,15
0.000803888,-34
0.000813712,-34
0.000818624,17
0.000828448,-34
0.000838272,-34
0.000848096,-35
0.000849488,-35
0.000859312,-35
0.000874048,-35
0.000874864,-35
0.000879776,-35
0.0008896,25
0.000894512,-34
0.000905824,26
0.000915648,26
0.000925472,26
0.000935296,26
0.00094512,26
0.000959856,26
0.000979504,-35
0.000984416,-35
0.00099424,-35
0.001008976,-35
0.0010188,-35
0.001038448,-36
0.00104336,-36
0.001053184,33
0.00106792,33
0.001281248,33
0.001291072,33
0.001300896,33
0.00131072,33
0.001320544,33
0.001323176,-35
0.001342824,34
0.001352648,34
0.001367384,34
0.001377208,34
0.001387032,34
0.001396856,34
0.00140668,34
0.001416504,34
0.001426328,34
0.001436152,34
0.001445976,34
0.0014558,34
0.001485272,-25
0.001490184,28
0.001491224,22
0.001501064,22
0.001510888,-23
0.0015158,-23
0.001550184,-25
0.001555096,-25
0.001560008,-25
0.001579656,-25
0.001584568,-25
0.00158948,-25
0.001609128,-25
0.00161404,-25
0.001618952,-25
0.0016386,-25
0.001643512,-25
0.001648424,-25
0.001668072,-25
0.001672984,-25
0.001677896,-25
0.001686536,-25
0.001691448,-25
0.00169636,-25
0.001701272,42
0.001711096,-24
0.001716008,-24
0.00172092,-24
0.001726872,-25
0.001731784,46
0.001736696,46
0.001761256,44
0.00177108,42
0.001780904,40
0.00178172,33
0.001786632,33
0.001801368,33
0.001816104,33
0.001821016,33
0.00183084,33
0.001835752,33
0.001860312,28
0.001861704,26
0.001872088,26
0.001877,26
0.001896648,-25
0.001906472,-25
0.00192612,-26
0.001935944,-26
0.001945768,-26
0.001970328,-26
0.001980152,-26
0.001989976,-26
0.002014536,-26
0.00202436,-26
0.002034184,-26
0.002040488,-26
0.0020454,-26
0.002050312,-26
0.002214952,40
0.002224776,40
0.0022346,40
0.002332128,39
0.002346864,39
0.0023616,38
0.002381248,36
0.002391072,36
0.002395984,15
0.002400896,14
0.002415632,14
0.002425456,14
0.00243528,14
0.002445104,-17
0.002454928,-17
0.0024844,-18
0.002489312,-18
0.002504048,-18
0.002518784,-18
0.002523696,-18
0.00253352,-18
0.002548256,-18
0.002553168,-18
0.002562992,-18
0.002577728,-18
0.00258264,-18
0.002592464,-18
0.0026072,-18
0.002612112,-18
0.002621936,-18
0.002636672,-18
0.002641584,-18
0.002651408,-18
0.002666144,-18
0.002671056,-18
0.00268088,-18
0.002695616,-18
0.002700528,-18
0.002710352,-18
0.002725088,-18
0.00273,-18
0.002734912,-18
0.002739824,-18
0.002744736,-18
0.002749648,-18
0.002759472,46
0.002764384,-17
0.002769296,-17
0.002774208,-17
0.002786576,49
0.002788608,49
0.00279352,-15
0.002803344,50
0.002813168,50
0.002822992,50
0.002832816,50
0.002847552,50
0.002857376,50
0.0028672,50
0.002877024,50
0.002886848,50
0.002906496,48
0.003222496,36
0.003250904,-15
0.003260728,37
0.003280376,37
0.0032902,37
0.00331476,35
0.003319672,1
0.003324584,1
0.003329496,1
0.003334408,1
0.00333932,1
0.003344232,1
0.003358968,-12
0.003373704,-12
0.003378616,-12
0.003398264,-12
0.003413,-12
0.003417912,-12
0.003442472,-12
0.003452296,-12
0.003457208,-12
0.003471944,-12
0.003481768,-12
0.00348668,-12
0.003501416,-12
0.00351124,-12
